ind,id,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,Q95,ZEFF,TAV,LCOULOMB,QCYL5,TAUBOHM,RHOSTAR,BETASTAR,NUSTAR,OMEGACYCL
12580,MWIZLM,HGELM,ASDEX,0.2965,2.2,3.917,1.185,1.657,0.9776,0.24677127338563667,1.5,0.07139,19820713,6416,1.201,4.626,0.0,956.679759107062,15.262408701457197,3.6596119639102156,0.10470533333333333,0.006063894307159563,0.5494244557605438,0.28434251188801335,1.4666666666666668
12581,SHO48K,HGELM,ASDEX,0.29469999999999996,2.201,3.89,1.962,1.65,0.9692,0.2498787878787879,1.5,0.04668,19820713,6416,1.224,4.876,0.0,1038.78071856618,15.348201362873475,3.730243005115124,0.06849512,0.00626378271728496,0.59192486981026,0.23992139899802922,1.4673333333333334
12586,2MB8JX,HSELM,ASDEX,0.2971,2.2,3.3649999999999998,1.139,1.655,1.0,0.24157099697885195,1.5,0.0479,19820713,6421,1.17,4.214,0.0,734.800237546932,15.074487718403013,3.5768796277420156,0.07025333333333333,0.005435347247466937,0.362528526798573,0.41219893245222383,1.4666666666666668
12587,0KJAIP,HSELM,ASDEX,0.2964,2.201,3.6959999999999997,1.284,1.651,0.9811,0.2467595396729255,1.5,0.06157,19820713,6421,1.209,4.579,0.0,953.744542026314,15.288373306375874,3.662219930904076,0.09034371333333334,0.006074116079122006,0.5163654005412257,0.26964498662096714,1.4673333333333334
12588,BQQBXB,HSELM,ASDEX,0.2955,2.2,3.847,1.914,1.658,0.9666,0.2493968636911942,1.5,0.04894,19820713,6421,1.248,4.891,0.0,1065.81985107811,15.37945580665248,3.7105173723021583,0.07177866666666667,0.006329243864947742,0.6011651838304386,0.22639182023918347,1.4666666666666668
12594,WBG5LR,HGELM,ASDEX,0.3705,1.888,5.111,1.265,1.68,1.002,0.23755952380952383,1.5,0.08951,19820715,6480,1.315,2.824,0.0,990.450326301347,15.164065198192503,2.420998661600161,0.11266325333333334,0.007366153311680536,1.0077847719288269,0.24422153653143513,1.2586666666666666
12595,3L0RBD,HGELM,ASDEX,0.3696,1.888,5.281,1.92,1.674,0.9957,0.2399641577060932,1.5,0.06616,19820715,6480,1.354,2.915,0.0,1072.38546409039,15.227186138177409,2.451619325152707,0.08327338666666666,0.00761517274099717,1.1274474207560792,0.2148352698319308,1.2586666666666666
12600,RUXSA8,HSELM,ASDEX,0.3722,2.197,3.484,1.2169999999999999,1.677,1.014,0.2350029815146094,1.5,0.06124,19820716,6516,1.19,3.145,0.0,971.236024479065,15.336082006201828,2.771848136526377,0.08969618666666668,0.006347957656101029,0.49748043608739795,0.20338462179804187,1.4646666666666668
12602,JT52VF,HGELM,ASDEX,0.3694,2.197,4.147,1.9989999999999999,1.673,0.9945,0.24016736401673638,1.5,0.059,19820716,6516,1.248,3.403,0.0,1269.45156930293,15.516750683687672,2.8538518150948655,0.08641533333333333,0.007118298579697984,0.7739684359058666,0.14254158664019012,1.4646666666666668
12607,PZUNWA,HSELM,ASDEX,0.3716,2.197,3.506,1.2129999999999999,1.675,1.016,0.23486567164179106,1.5,0.06104,19820716,6517,1.183,3.135,0.0,961.506247947034,15.322866193212409,2.774582753751226,0.08940325333333334,0.006327319494197036,0.49560662120906024,0.20879185329392955,1.4646666666666668
12608,MRJJ8P,HGELM,ASDEX,0.3719,2.198,3.976,1.181,1.681,0.9994,0.23789411064842353,1.5,0.09357,19820716,6517,1.224,3.3,0.0,1240.71023722895,15.51490414551887,2.8101507665977277,0.13711124,0.0070674738821274825,0.7245937045447575,0.14356851605406543,1.4653333333333334
12609,OFQOVB,HGELM,ASDEX,0.37,2.198,4.149,1.9389999999999998,1.679,0.9925,0.23990470518165574,1.5,0.0647,19820716,6517,1.264,3.414,0.0,1341.77340218984,15.57191680510148,2.8487809949113934,0.09480706666666666,0.007296768384086099,0.817712108176262,0.12854684895491397,1.4653333333333334
12614,U4BA3L,HSELM,ASDEX,0.37129999999999996,2.2,3.429,1.339,1.672,1.017,0.234988038277512,1.5,0.05516,19820716,6523,1.21,3.135,0.0,983.94426617143,15.357037941967437,2.782785422894341,0.08090133333333334,0.0064001280270405345,0.49468166513621054,0.19550774891557254,1.4666666666666668
12615,XB9BB5,HGELM,ASDEX,0.3715,2.198,3.9899999999999998,1.2009999999999998,1.68,1.005,0.2367857142857143,1.5,0.08933,19820716,6523,1.257,3.246,0.0,1207.38324671969,15.48591809864321,2.800277907157806,0.13089822666666667,0.007008712210011035,0.7076130866474237,0.1522928118137643,1.4653333333333334
12616,NXZ3OT,HGELM,ASDEX,0.3695,2.198,3.911,1.708,1.672,0.9981,0.2394736842105263,1.5,0.06767,19820716,6523,1.304,3.363,0.0,1323.89667449744,15.588041168484533,2.8475917363150582,0.09915910666666666,0.007291441745209309,0.7605359055569278,0.12436012593922716,1.4653333333333334
